_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
gibsota01,24-Jun-85,"Brooklyn, New York",1,51.2,21.2,70.9,737,15.5,9.8,6.4,49.8,51.4,University of Southern California,26th overall,1st round,Chicago Bulls,2009,9-Jun,"Calvary Christian in San Fernando, California",Taj Gibson,Power Forward,Right,232lb
giddejr01,13-Feb-85,"Oklahoma City, Oklahoma",0.3,47.6,0,56.5,38,9.7,1.9,1.4,0.1,47.6,"University of Kansas, University of New Mexico",30th overall,1st round,Boston Celtics,2008,5-Jun,"John Marshall in Oklahoma City, Oklahoma",J.R. Giddens,Small Forward,Right,215lb
gildetr01,24-Jan-85,"Dallas, Texas",0,100,-,-,2,30.9,1,0.5,0,100,"McNeese State University, Northwestern State University",,,,,9-Jun,"DeSoto in DeSoto, Texas",Trey Gilder,Small Forward,Right,185lb
gilesha01,22-Apr-98,"Winston-Salem, North Carolina",1.5,50.3,0,63.7,58,14.4,7,3.8,1,50.3,Duke University,20th overall,1st round,Portland Trail Blazers,2017,10-Jun,"Forest Trail Academy in Kernersville, North Carolina",Harry Giles,Power Forward,Right,240lb
gilgesh01,12-Jul-98,"Toronto, Canada",3.3,47.6,36.7,80,82,13.4,10.8,2.8,3.3,51.2,University of Kentucky,11th overall,1st round,Charlotte Hornets,2018,6-Jun,"Hamilton Heights Christian HS in Chattanooga, Tennessee",Shai Gilgeous-Alexander,Point Guard,Right,181lb
gilled01,16-Aug-78,"Aurora, Colorado",1.2,36.1,32,84.7,187,9.9,3.1,1.1,1.9,42.4,Weber State University,,,,,Jun-00,"Overland in Aurora, Colorado",Eddie Gill,Point Guard,Right,190lb
gillke01,25-May-68,"Chicago, Illinois",3,43.4,30,75.4,966,14.7,13.4,4.1,47.8,44.8,University of Illinois at Urbana-Champaign,5th overall,1st round,Charlotte Hornets,1990,5-Jun,"Rich Central in Olympia Fields, Illinois",Kendall Gill,Shooting Guard and Small Forward,Right,195lb
gillebe01,19-Sep-65,"Detroit, Michigan",0.1,31.6,-,56.5,24,5,1,1,0,31.6,Georgetown University,,,,,Jul-00,"Central in Detroit, Michigan",Ben Gillery,Center,Right,235lb
gilleja01,1-Oct-47,,0,0,-,100,2,0.8,1,3.5,-0.1,0,Montana State University,166th overall,12th round,Los Angeles Lakers,1969,6-Jun,,Jack Gillespie,Forward,Right,215lb
gillege01,,,0.1,9.1,,66.7,14,-,0.6,-,0.2,,Saint Mary's College of California,,,,,2-Jun,,Gene Gillette,Forward,Right,205lb
gilliar01,28-May-64,"Pittsburgh, Pennsylvania",1.2,48.9,0,77.6,929,16.4,13.7,6.9,58.1,48.9,"University of Nevada, Las Vegas",2nd overall,1st round,Phoenix Suns,1987,9-Jun,"Bethel Park in Bethel Park, Pennsylvania",Armen Gilliam,Power Forward and Small Forward,Right,230lb
gillihe01,5-May-46,"Winston-Salem, North Carolina",3.8,44.1,,79.2,578,13.8,10.8,3.8,20.8,,Purdue University,163rd overall,13th round,Chicago Bulls,1968,3-Jun,"Atkins in Winston-Salem, North Carolina",Herm Gilliam,Point Guard and Shooting Guard,Right,190lb
gilmoar01,21-Sep-49,"Chipley, Florida",2.3,58.2,15,69.8,1329,21.4,18.8,12.3,189.7,58.2,"Gardner-Webb University, Jacksonville University",117th overall,7th round,Chicago Bulls,1971,2-Jul,"Carver in Dothan, Alabama",Artis Gilmore,Center,Left,240lb
gilmowa01,27-Feb-47,,0.4,42.6,,46.2,27,6.4,2.1,2.7,0.2,,Fort Valley State University,25th overall,2nd round,Portland Trail Blazers,1970,6-Jun,,Walt Gilmore,Power Forward,Right,225lb
gilmuch01,13-Aug-22,,1.5,32.5,,60.9,239,-,5.8,4.7,15.1,,University of Washington,,,,,4-Jun,,Chuck Gilmur,Forward/Center,Right,225lb
ginobma01,28-Jul-77,"Bahia Blanca, Argentina",3.8,44.7,36.9,82.7,1057,20.2,13.3,3.5,106.4,52,,57th overall,2nd round,San Antonio Spurs,1999,6-Jun,,Manu Ginobili,Shooting Guard,Left,205lb
giricgo01,20-Jun-77,"Zagreb, Croatia",1.5,44.2,36.8,82.3,384,11.8,9.6,2.5,8,48.6,,40th overall,2nd round,Dallas Mavericks,1999,6-Jun,,Gordan Giricek,Small Forward and Shooting Guard,Right,210lb
givenja01,21-Sep-56,"Lexington, Kentucky",0.9,40.1,0,79.1,156,12.3,6.7,2.9,4.3,40.1,University of Kentucky,16th overall,1st round,Atlanta Hawks,1978,5-Jun,"Bryan Station in Lexington, Kentucky",Jack Givens,Small Forward,Left,205lb
gladnmi01,26-Jul-86,"Birmingham, Alabama",0.2,42.4,-,50,26,9.5,2.2,2.2,0.2,42.4,Alabama A&M University,,,,,11-Jun,"Sylacauga in Sylacauga, Alabama",Mickell Gladness,Power Forward,Right,220lb
glamage01,7-Jun-18,"Johnstown, Pennsylvania",1.7,24.8,,76.4,11,-,9.3,-,0.2,,University of North Carolina,,,,,6-Jun,"Allentown Preparatory School in Allentown, Pennsylvania",George Glamack,Center/Forward,Right,225lb
glassge01,12-Nov-67,"Greenwood, Mississippi",1.5,43.3,23.6,64.3,201,13.3,7.7,2.5,1.8,44.2,"Delta State University, University of Mississippi",20th overall,1st round,Minnesota Timberwolves,1990,5-Jun,"Amanda Elzy in Greenwood, Mississippi",Gerald Glass,Small Forward,Right,221lb
glennmi01,10-Sep-55,"Rome, Georgia",1.6,54.2,28.6,85.5,593,15.1,7.6,1.2,25.3,54.3,Southern Illinois University,23rd overall,2nd round,Chicago Bulls,1977,2-Jun,"Coosa in Rome, Georgia",Mike Glenn,Shooting Guard and Point Guard,Right,175lb
glickno01,10-Nov-27,"Los Angeles, California",0,100,,-,1,-,2,-,0.1,,Loyola Marymount University,,,,,7-Jun,"Manual Arts in Los Angeles, California",Normie Glick,Forward,Right,190lb
gloucge01,10-Jan-60,"Triavna, Bulgaria",0.7,40.2,100,57.4,49,5.7,4.9,3.3,-0.5,40.4,,148th overall,7th round,Phoenix Suns,1985,8-Jun,"Jambol in Jambol, Bulgaria",Georgi Glouchkov,Power Forward,Right,235lb
glovecl01,1-Nov-47,"Horse Cave, Kentucky",0.2,45.5,,46.9,25,14,2.6,1.8,0.3,,Western Kentucky University,10th overall,1st round,Boston Celtics,1971,8-Jun,,Clarence Glover,Power Forward,Right,210lb
glovedi01,22-Oct-78,"Marietta, Georgia",1.5,41.1,31.7,75.6,294,12.8,8.2,3.1,5.8,44.5,Georgia Institute of Technology,20th overall,1st round,Atlanta Hawks,1999,5-Jun,"Cedar Grove in Ellenwood, Georgia",Dion Glover,Shooting Guard,Right,228lb
glynian01,21-Aug-81,"Hania, Greece",0.1,47.1,-,50,13,-3.3,1.3,0.6,-0.2,47.1,,58th overall,2nd round,Detroit Pistons,2003,1-Jul,,Andreas Glyniadakis,Center,Right,280lb
gminsmi01,3-Aug-59,"Monroe, Connecticut",1.3,46.5,12.2,84.3,938,16.3,11.7,6.9,55.9,46.5,Duke University,7th overall,1st round,New Jersey Nets,1980,11-Jun,"Masuk in Monroe, Connecticut",Mike Gminski,Center,Right,250lb
goberru01,26-Jun-92,"Saint-Quentin, France",1.3,62.9,0,63.1,406,21.5,11.1,10.5,52.8,62.9,,27th overall,1st round,Denver Nuggets,2013,1-Jul,,Rudy Gobert,Center,Right,245lb
godfrda01,14-Jun-67,"Fort Wayne, Indiana",0,41.7,0,75,11,18.5,1.2,0.2,0.1,41.7,University of Evansville,,,,,10-Jun,"Stillman Valley in Stillman Valley, Illinois",Dan Godfread,Center,Right,250lb
golato01,13-Jan-33,"Philadelphia, Pennsylvania",4.2,43.1,,76,698,14.1,11.3,8,53.2,,La Salle University,,1955 NBA Draft,Philadelphia Warriors,,6-Jun,"La Salle College in Philadelphia, Pennsylvania",Tom Gola,Shooting Guard and Small Forward,Right,205lb
goldfbe01,6-Sep-13,,0,0,,50,2,-,1,-,0,,George Washington University,,,,,1-Jun,,Ben Goldfaden,Forward,Right,185lb
goldwan01,6-Sep-71,"West Palm Beach, Florida",2.8,40.7,38.6,79.2,266,12.7,6.3,1.3,6.4,47.9,University of Houston,52nd overall,2nd round,Phoenix Suns,1994,1-Jun,"Suncoast in Riviera Beach, Florida",Anthony Goldwire,Point Guard,Right,182lb
gomesry01,1-Sep-82,"Waterbury, Connecticut",1.5,44.5,34.9,79.9,487,12.5,10.1,4.6,19.4,48.4,Providence College,50th overall,2nd round,Boston Celtics,2005,7-Jun,"Wilby in Waterbury, Connecticut",Ryan Gomes,Power Forward and Small Forward,Right,250lb
gondrgl01,30-Aug-55,"Boulder, Colorado",1.4,47.3,14.3,72.4,435,13.7,5.8,4.5,15.9,47.4,"University of Nevada, Las Vegas",26th overall,2nd round,New York Knicks,1977,6-Jun,"Boulder in Boulder, Colorado",Glen Gondrezick,Power Forward and Small Forward,Right,218lb
gondrgr01,19-Jan-63,"Boulder, Colorado",1.3,43.8,25,68.7,91,11.1,5,1.6,0.8,44.7,Pepperdine University,77th overall,4th round,Phoenix Suns,1986,5-Jun,"Boulder in Boulder, Colorado",Grant Gondrezick,Shooting Guard,Right,205lb
goodedr01,24-Sep-81,"Oakland, California",1.1,46.2,25.7,76,790,16.3,11,7.1,43.9,46.8,University of Kansas,4th overall,1st round,Memphis Grizzlies,2002,10-Jun,"El Cerrito in El Cerrito, California",Drew Gooden,Small Forward and Center and Power Forward,Right,250lb
goodrga01,23-Apr-43,"Los Angeles, California",4.7,45.6,,80.7,1031,16.7,18.6,3.2,76.3,,"University of California, Los Angeles",,1965 NBA Draft,Los Angeles Lakers,,1-Jun,"Polytechnic in Sun Valley, California",Gail Goodrich,Shooting Guard and Point Guard,Left,170lb
goodrst01,18-Mar-76,"Philadelphia, Pennsylvania",0.5,32.1,33.3,55.6,21,2.7,1.1,1.2,-0.2,33.9,Princeton University,,,,,10-Jun,"William Penn Charter School in Philadelphia, Pennsylvania",Steve Goodrich,Power Forward and Small Forward,Right,220lb
goodwar01,17-Aug-94,"Little Rock, Arkansas",1.2,42.9,23.6,70,165,11.6,6.3,2,1.1,45.5,University of Kentucky,29th overall,1st round,Oklahoma City Thunder,2013,5-Jun,"Sylvan Hills in Sherwood, Arkansas",Archie Goodwin,Point Guard and Shooting Guard,Right,200lb
goodwbr01,2-Oct-95,"Norcross, Georgia",0.9,26.1,33.3,81.8,16,8.3,1.4,0.2,0,30.4,"University of Central Florida, Florida Gulf Coast University",,,,,2-Jun,"Norcross HS in Norcross, Georgia",Brandon Goodwin,Point Guard,Right,180lb
goodwpo01,22-Dec-20,"Brooklyn, New York",0.3,26.6,,77.5,79,-,4.4,-,0.4,,,,,,,2-Jun,"St. John's Prep in Brooklyn, New York",Pop Goodwin,Forward/Center,Right,203lb
gordoaa01,16-Sep-95,"San Jose, California",2.2,45,32.1,70.7,341,15.3,12.5,6.2,18,50.2,University of Arizona,4th overall,1st round,Orlando Magic,2014,9-Jun,"Archbishop Mitty in San Jose, California",Aaron Gordon,Power Forward and Small Forward,Right,220lb
gordobe01,4-Apr-83,"London, United Kingdom",2.5,43.2,40.1,85.7,744,14.9,14.9,2.5,33.3,49.7,University of Connecticut,3rd overall,1st round,Chicago Bulls,2004,3-Jun,"Mount Vernon in Mount Vernon, New York",Ben Gordon,Shooting Guard,Right,200lb
gordodr01,12-Jul-90,"San Jose, California",0.2,42.1,0,50,9,3.7,1.9,2,-0.1,42.1,"University of California, Los Angeles, University of New Mexico",,,,,9-Jun,"Archbishop Mitty in San Jose, California",Drew Gordon,Power Forward,Right,245lb
gordoer01,25-Dec-88,"Indianapolis, Indiana",2.9,42.8,37.4,81.4,629,14.5,16.7,2.5,33.6,51.5,Indiana University,7th overall,1st round,Los Angeles Clippers,2008,4-Jun,"North Central in Indianapolis, Indiana",Eric Gordon,Shooting Guard and Point Guard,Right,215lb
gordola01,24-Jun-62,"Jackson, Mississippi",1.5,39.1,27.1,76.7,201,9.4,5.6,1.3,-2.7,40,University of Louisville,8th overall,1st round,Los Angeles Clippers,1984,3-Jun,"Jim Hill in Jackson, Mississippi",Lancaster Gordon,Shooting Guard,Right,185lb
gordopa01,8-Apr-27,,0.8,0,,60,4,-,0.8,-,-0.1,,University of Notre Dame,1949 BAA Draft,3rd roun,Baltimore Bullets,,3-Jun,,Paul Gordon,Forward,Right,185lb
gortama01,17-Feb-84,"Lodz, Poland",1.1,55.1,15,68,806,17.1,9.9,7.9,61.3,55.2,,57th overall,2nd round,Phoenix Suns,2005,11-Jun,,Marcin Gortat,Power Forward and Center,Right,240lb
gottlle01,28-Nov-20,"New York, New York",0.4,28.8,,64.5,84,-,5.5,-,1.8,,,,,,,11-May,"DeWitt Clinton in Bronx, New York",Leo Gottlieb,Guard,Right,180lb
goudean01,7-Dec-88,"Gainesville, Georgia",0.5,39.3,34.5,87.5,49,8.6,4,0.7,0,46.7,College of Charleston,46th overall,2nd round,Los Angeles Lakers,2011,3-Jun,"Stone Mountain in Stone Mountain, Georgia",Andrew Goudelock,Point Guard and Shooting Guard,Right,200lb
govange01,2-Jan-42,"Jersey City, New Jersey",3.2,40.5,20.8,67.8,681,10.2,7.7,10.5,27,40.6,Saint Mary of the Plains College,88th overall,11th round,St. Louis Hawks,1964,10-Jun,"Snyder in Jersey City, New Jersey",Gerald Govan,Power Forward and Center,Right,220lb
govedba01,17-Apr-28,,1,31.6,,67.6,23,7.1,3.3,0.8,0.2,,DePaul University,24th overall,3rd round,Syracuse Nationals,1951,11-May,"Lane Technical in Chicago, Illinois",Bato Govedarica,Point Guard,Right,185lb
grabojo01,15-Jan-30,,1.8,35.2,,70,845,13.5,11,8.1,25.5,,,,,,,7-Jun,"Tuley in Chicago, Illinois",Joe Graboski,Power Forward and Center,Right,195lb
graceri01,20-Aug-67,"Dallas, Texas",0.3,66.7,-,0,3,10.8,1.3,0.3,0,66.7,"Midland College, University of Oklahoma",67th overall,3rd round,Utah Jazz,1988,1-Jun,"Wilmer-Hutchins in Dallas, Texas",Ricky Grace,Point Guard,Left,180lb
grahaca01,7-Jun-44,,0,28.6,-,62.5,8,2.2,1.6,1.3,0,28.6,Gannon University,,,,,2-Jun,"Morris in New York, New York",Calvin Graham,Guard,Right,195lb
grahade01,22-Feb-95,"Raleigh, North Carolina",2.6,34.3,28.1,76.1,46,10.3,4.7,1.4,0.5,42.1,University of Kansas,34th overall,2nd round,Atlanta Hawks,2018,2-Jun,"Brewster Academy in Wolfeboro, New Hampshire",Devonte' Graham,Point Guard,Right,185lb
grahagr01,26-Nov-70,"Indianapolis, Indiana",1,40.7,29,77.5,207,10.6,4.5,1.1,1.3,43.7,Indiana University,17th overall,1st round,Charlotte Hornets,1993,4-Jun,"Warren Central in Indianapolis, Indiana",Greg Graham,Shooting Guard,Right,174lb
grahajo01,11-Jun-82,"Wilmington, Delaware",0.5,48.3,30,81.5,377,11,5.9,2.8,7.8,49.8,"University of Central Florida, Oklahoma State University",16th overall,1st round,Toronto Raptors,2005,7-Jun,"Brandon in Brandon, Florida",Joey Graham,Small Forward,Right,225lb
grahama01,23-Feb-45,,1.1,39.8,,65.7,70,8.3,4.7,1.7,0.8,,New York University,11th overall,1st round,Boston Celtics,1967,1-Jun,"White Plains in White Plains, New York",Mal Graham,Point Guard,Right,185lb
grahaor01,5-May-65,"Montgomery, Alabama",0,30,-,50,7,6.7,1.1,1.6,0,30,"West Texas A&M University, Auburn University at Montgomery",40th overall,2nd round,Miami Heat,1988,8-Jun,"Sidney Lanier in Montgomery, Alabama",Orlando Graham,Power Forward,Right,220lb
grahapa01,28-Nov-67,"Philadelphia, Pennsylvania",2,44.8,33.9,73.9,179,13.7,8.4,2.4,5.7,48.7,Ohio University,,,,,6-Jun,"Benjamin Franklin in Philadelphia, Pennsylvania",Paul Graham,Shooting Guard,Right,200lb
grahast01,11-Jun-82,"Wilmington, Delaware",0.5,44.6,30.8,76.6,239,8.2,4,1.8,1.7,47.7,"University of Central Florida, Oklahoma State University",,,,,6-Jun,"Brandon in Brandon, Florida",Stephen Graham,Shooting Guard and Small Forward,Right,215lb
grahatr01,28-Oct-93,"Temple Hills, Maryland",0.8,39.6,36.3,71.9,125,8.1,4.1,2,2.7,49.2,Virginia Commonwealth University,,,,,5-Jun,"St. Mary's Ryken in Leonardtown, Maryland",Treveon Graham,Shooting Guard,Right,225lb
grandji01,4-Oct-60,"Elkhart, Indiana",0.3,51.7,52.9,47.6,26,16.5,3,1.9,0.4,59.5,"University of Florida, University of South Florida",76th overall,4th round,Washington Bullets,1984,Jul-00,"Central in Elkhart, Indiana",Jim Grandholm,Power Forward,Right,235lb
grandro01,9-Jul-64,"Los Angeles, California",0.6,40.4,16.7,71.3,105,9.8,2.4,1.6,1.2,41.3,"University of California, Irvine, University of New Orleans",100th overall,5th round,Denver Nuggets,1987,6-Jun,"Saint Bernard in Playa del Rey, California",Ron Grandison,Power Forward,Right,215lb
grangda01,20-Apr-83,"New Orleans, Louisiana",1.9,43.4,38,84.8,586,16.9,16.8,4.9,48.5,50,"Bradley University, University of New Mexico",17th overall,1st round,Indiana Pacers,2005,9-Jun,"Grace King in Metairie, Louisiana",Danny Granger,Small Forward,Right,222lb
grangst01,27-Oct-61,"Montreal, Canada",2.2,41.4,23.5,74.2,80,8.4,4,1,-0.1,42.1,Villanova University,24th overall,1st round,Cleveland Cavaliers,1983,3-Jun,"Nazareth Regional in Brooklyn, New York",Stewart Granger,Point Guard,Right,190lb
grantbr01,5-Mar-72,"Columbus, Ohio",1.2,49,21.4,74.6,756,14.9,10.5,7.4,54.5,49.1,Xavier University,8th overall,1st round,Sacramento Kings,1994,9-Jun,"Georgetown in Georgetown, Ohio",Brian Grant,Small Forward and Power Forward and Center,Right,254lb
grantbu01,20-May-27,"Superior, Wisconsin",0.9,31.8,,59,96,-,2.6,1.9,1.1,,University of Minnesota,1950 NBA Draft,4th roun,Minneapolis Lakers,,3-Jun,"Central in Superior, Wisconsin",Bud Grant,Forward,Right,195lb
grantga01,21-Apr-65,"Canton, Ohio",5.5,45,27.8,77.6,552,13.4,7.9,2.3,12,46.2,University of Michigan,15th overall,1st round,Seattle SuperSonics,1988,3-Jun,"McKinley in Canton, Ohio",Gary Grant,Point Guard,Right,185lb
grantgr01,29-Aug-66,"Trenton, New Jersey",2.7,38.3,28.1,71,274,9.9,2.8,0.9,1.6,40.8,Trenton State University,52nd overall,2nd round,Phoenix Suns,1989,7-May,"Central in Trenton, New Jersey",Greg Grant,Point Guard,Right,140lb
grantha01,4-Jul-65,"Augusta, Georgia",1.6,46.9,26.7,70.9,783,12.7,9.9,4.4,36.4,47.3,"Clemson University, University of Oklahoma",12th overall,1st round,Washington Bullets,1988,8-Jun,"Hancock Central in Sparta, Georgia",Harvey Grant,Small Forward and Power Forward,Right,195lb
grantho01,4-Jul-65,"Augusta, Georgia",2.2,50.9,6.3,69.2,1165,16,11.2,8.1,118.2,50.9,Clemson University,10th overall,1st round,Chicago Bulls,1987,10-Jun,"Hancock Central in Sparta, Georgia",Horace Grant,Center and Power Forward,Right,215lb
grantje01,12-Mar-94,"Portland, Oregon",1,46.1,33.4,65.4,383,12.6,8.8,3.9,18.2,51.5,Syracuse University,39th overall,2nd round,Philadelphia 76ers,2014,9-Jun,"DeMatha in Hyattsville, Maryland",Jerami Grant,Small Forward and Power Forward,Right,220lb
grantje02,9-Oct-92,"Silver Spring, Maryland",2.9,41.2,32.4,77.1,273,12.6,6.1,1.9,8.3,47.3,University of Notre Dame,19th overall,1st round,Washington Wizards,2015,4-Jun,"DeMatha in Hyattsville, Maryland",Jerian Grant,Point Guard,Right,205lb
grantjo01,7-Aug-67,"Salt Lake City, Utah",0.5,40.4,27.9,75.9,53,11.7,3,1.7,0.5,46.2,University of Utah,43rd overall,2nd round,Denver Nuggets,1993,9-Jun,"East in Salt Lake City, Utah",Josh Grant,Power Forward,Right,223lb
grantpa01,6-Jan-74,"Pittsburgh, Pennsylvania",0.2,44.8,-,37.5,16,4,1.8,1.1,-0.1,44.8,"Boston College, University of Wisconsin",20th overall,1st round,Minnesota Timberwolves,1997,Jul-00,"Brother Rice in Birmingham, Michigan",Paul Grant,Center,Right,245lb
granttr01,1-Jan-50,"Clayton, Alabama",1,52.4,33.3,81.1,201,18.7,13.8,4.1,11.6,52.5,Kentucky State University,13th overall,1st round,Los Angeles Lakers,1972,7-Jun,"Barbour County Training School in Clayton, Alabama",Travis Grant,Small Forward,Right,215lb
grantdo01,19-Mar-95,"Martinsburg, West Virginia",0,0,0,-,3,-38.1,0,0,0,0,Clemson University,,,,,8-Jun,"Hargrave Military Academy in Chatham, Virginia",Donte Grantham,Small Forward,Right,215lb
gratedo01,27-Aug-23,"Greenfield, Ohio",1.5,16.7,,100,2,-,2,-,0,,Ohio State University,,,,,2-Jun,"Greenfield in Greenfield, Ohio",Don Grate,Forward/Guard,Right,185lb
gravebu01,5-Jan-62,"Scarsdale, New York",0.3,33.3,0,20,4,-0.8,1.3,0.5,-0.1,33.3,Yale University,68th overall,3rd round,Philadelphia 76ers,1984,3-Jun,"Scarsdale in Scarsdale, New York",Butch Graves,Shooting Guard,Right,200lb
grayaa01,7-Dec-84,"Tarzana, California",0.7,50.9,0,56.2,318,11.5,3.4,3.7,6.2,50.9,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,Jul-00,"Emmaus in Emmaus, Pennsylvania",Aaron Gray,Center,Right,270lb
grayde01,31-May-72,"Baltimore, Maryland",0.3,36.5,-,61.8,27,11.3,2.5,1.4,0.1,36.5,Clemson University,,,,,7-Jun,"Saint Frances Academy in Baltimore, Maryland",Devin Gray,Power Forward and Small Forward,Left,240lb
grayed01,27-Sep-75,"Riverside, California",0.8,33.9,34.1,81.4,60,9.6,6.2,1.2,0.1,37.8,"University of Tennessee, University of California",22nd overall,1st round,Atlanta Hawks,1997,3-Jun,"North in Riverside, California",Ed Gray,Shooting Guard,Right,210lb
grayev01,13-Dec-69,"Bloomington, California",0.4,26.7,25,100,5,2.8,2.6,0.6,-0.1,30,"University of Nevada, Las Vegas",,,,,7-Jun,"Bloomington in Bloomington, California",Evric Gray,Small Forward,Right,235lb
grayga01,23-Feb-45,,0.6,36.6,,70,44,5.4,2.4,0.5,-0.5,,Oklahoma City University,26th overall,3rd round,Cincinnati Royals,1967,1-Jun,"Fort Cobb in Fort Cobb, Oklahoma",Gary Gray,Shooting Guard,Right,185lb
grayjo01,9-Sep-93,"Lake Charles, Louisiana",2.4,26.8,23.1,63.6,5,7.2,6.4,2,-0.2,30.5,Louisiana State University,,,,,1-Jun,"Wheatley HS in Houston, Texas",Josh Gray,Point Guard,Right,180lb
grayle01,19-Dec-51,"Kansas City, Kansas",2.2,46.9,,73.9,224,12.7,10.8,5.2,9.9,,"California State University, Long Beach",45th overall,3rd round,Atlanta Hawks,1973,8-Jun,"Sumner in Kansas City, Kansas",Leonard Gray,Power Forward,Right,240lb
grayst01,27-May-63,"Panama Canal Zone, Panama",0.4,44.6,0,66.3,386,8.6,2.3,2.6,3.3,44.6,"University of California, Los Angeles",29th overall,2nd round,Indiana Pacers,1984,Jul-00,"John F. Kennedy in Granada Hills, California",Stuart Gray,Center,Right,235lb
graysy01,8-Jul-67,"Millington, Tennessee",2.1,42,25,67.3,55,11.2,8,5.2,0.7,42.1,University of Memphis,35th overall,2nd round,Miami Heat,1988,6-Jun,"Bolton in Arlington, Tennessee",Sylvester Gray,Small Forward,Right,230lb
graywy01,20-Mar-22,,0.7,28.3,,57,67,-,5.4,-,2,,Harvard University,,,,,1-Jun,"Akron South in Akron, Ohio",Wyndol Gray,Guard/Forward,Right,175lb
grayeje01,17-Dec-65,"Flint, Michigan",1.4,45.7,25.5,66.3,438,12,7.4,3,9,46.3,Iowa State University,13th overall,1st round,Milwaukee Bucks,1988,5-Jun,"Flint Northwestern in Flint, Michigan",Jeff Grayer,Shooting Guard and Small Forward,Right,200lb
greacbo01,15-Sep-47,,0.9,37.4,-,60,47,7.9,2.4,1.4,-0.1,37.4,Rutgers University,17th overall,2nd round,Milwaukee Bucks,1969,7-Jun,"Merchantville in Merchantville, New Jersey",Bob Greacen,Small Forward,Right,206lb
greenac01,4-Oct-63,"Portland, Oregon",1.1,49.4,25.4,73.4,1278,14.4,9.6,7.4,99.5,50.1,Oregon State University,23rd overall,1st round,Los Angeles Lakers,1985,9-Jun,"Benson Polytechnic in Portland, Oregon",A.C. Green,Power Forward and Small Forward,Right,220lb
greenda02,22-Jun-87,"North Babylon, New York",1.6,42.4,40.4,81.7,620,13.2,9,3.5,39.2,54.9,University of North Carolina,46th overall,2nd round,Cleveland Cavaliers,2009,6-Jun,"St. Mary's in Manhasset, New York",Danny Green,Shooting Guard,Right,215lb
greende01,25-Oct-82,"Columbus, Ohio",0.3,21.4,0,61.9,27,4.7,0.9,0.9,-0.1,21.4,Hampton University,,,,,7-Jun,"Beechcroft in Columbus, Ohio",Devin Green,Shooting Guard,Right,210lb
greendr01,4-Mar-90,"Saginaw, Michigan",4.9,43.9,32.3,70.6,533,15.3,9.1,6.9,43.3,50,Michigan State University,35th overall,2nd round,Golden State Warriors,2012,7-Jun,"Saginaw in Saginaw, Michigan",Draymond Green,Small Forward and Power Forward,Right,230lb
greener01,9-May-91,"Inglewood, California",0.8,37.7,28.8,85.7,52,9.3,3.1,0.7,0.1,42,Virginia Polytechnic Institute and State University,46th overall,2nd round,Utah Jazz,2013,4-Jun,"Paul VI in Fairfax, Virginia",Erick Green,Point Guard,Right,185lb
greenge01,26-Jan-86,"Houston, Texas",0.9,41.7,36.1,81.8,658,13,9.7,2.5,18.4,50.4,,18th overall,1st round,Boston Celtics,2005,7-Jun,"Gulf Shores Academy in Houston, Texas",Gerald Green,Shooting Guard and Small Forward,Right,205lb
greenja01,21-Jun-90,"Montgomery, Alabama",0.9,47.9,36.9,77,299,14.1,8.4,6.1,14.2,52.4,University of Alabama,,,,,9-Jun,"St. Jude in Montgomery, Alabama",JaMychal Green,Power Forward,Right,227lb
greenje02,28-Aug-86,"Cheverly, Maryland",1.6,44.1,33.3,80.5,860,13.3,13.2,4.5,40.2,48.8,Georgetown University,5th overall,1st round,Boston Celtics,2007,9-Jun,"Northwestern in Hyattsville, Maryland",Jeff Green,Small Forward and Power Forward,Right,235lb
greenjo01,8-Dec-33,"Dayton, Ohio",1.4,49.3,,55.3,1057,17.1,11.6,8.6,58,,Michigan State University,5th overall,1st round,New York Knicks,1959,5-Jun,"Paul Laurence Dunbar in Dayton, Ohio",Johnny Green,Power Forward,Left,200lb
greenke01,19-Sep-59,"Newman, Georgia",0.3,48.1,-,55.6,7,19.3,4.4,3.9,0.3,48.1,University of Texas-Pan American,34th overall,2nd round,Denver Nuggets,1981,8-Jun,"Newman in Newman, Georgia",Ken Green,Power Forward,Right,215lb
greenke02,11-Oct-64,"Eustis, Florida",0.3,41.2,0,72.1,60,8.1,4.4,1.7,-0.3,41.2,Wake Forest University,12th overall,1st round,Washington Bullets,1985,6-Jun,"Eustis in Eustis, Florida",Kenny Green,Small Forward,Right,210lb
greenla01,22-Mar-47,"Birmingham, Alabama",0.8,43,-,66,411,10.6,5.2,6.2,7.4,43,Morehead State University,33rd overall,3rd round,Phoenix Suns,1969,7-Jun,"Carver in Birmingham, Alabama",Lamar Green,Center and Power Forward,Right,210lb
greenli01,7-Mar-70,"Pascagoula, Mississippi",1.2,42,7.7,66.5,148,11.6,2.9,0.5,1.6,42.3,University of Georgia,39th overall,2nd round,Chicago Bulls,1992,1-Jun,"Moss Point in Moss Point, Mississippi",Litterial Green,Point Guard,Right,185lb
